city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Tefe,40,BR,1538154000,66,-3.35,-64.71,89.6,5.82
Bulawayo,0,ZW,1538155610,22,-20.16,28.59,79.13,10.63
Turquel,0,PT,1538154000,68,39.46,-8.98,89.6,13.87
Hasaki,20,JP,1538152200,93,35.73,140.83,60.8,2.24
Rocha,92,UY,1538155610,90,-34.48,-54.34,63.38,15.21
Linxia,0,CN,1538155610,74,35.6,103.21,28.55,1.9
Vikulovo,92,RU,1538155611,87,55.07,40.96,54.74,24.27
Atbasar,0,KZ,1538155611,60,51.81,68.36,47.0,12.19
Narsaq,75,GL,1538153400,48,60.91,-46.05,44.6,23.04
Victoria,20,SC,1538154000,74,-4.62,55.45,80.6,14.99
Mount Isa,0,AU,1538154000,36,-20.73,139.49,64.4,5.82
Samarai,92,PG,1538155612,100,-10.62,150.67,76.43,12.19
Qandala,0,SO,1538155612,100,11.47,49.87,69.77,2.68
Kongolo,48,CD,1538155613,58,-5.39,27.0,81.2,4.14
Brae,92,GB,1538153400,53,60.4,-1.35,51.8,21.92
Kupang,0,ID,1538155613,93,-10.16,123.6,77.87,12.75
Bilibino,24,RU,1538155613,76,68.06,166.44,37.73,4.92
Lubao,44,CD,1538155614,51,-5.39,25.75,83.0,8.39
Beloha,0,MG,1538155614,47,-25.17,45.06,77.15,10.74
Kahului,20,US,1538153760,96,20.89,-156.47,75.2,3.36
Saiha,48,IN,1538155614,95,22.49,92.98,72.65,1.79
Nyahururu,48,KE,1538155614,87,0.03,36.37,54.2,4.92
Varnavino,88,RU,1538155614,98,61.19,46.56,42.5,6.49
Sterling,75,US,1538154480,70,39.0,-77.4,73.04,9.17
Leh,56,IN,1538155615,84,34.16,77.58,15.5,1.68
Batticaloa,56,LK,1538155615,100,7.71,81.69,76.7,6.15
Boyolangu,12,ID,1538155615,88,-8.09,111.9,64.46,4.59
Omboue,8,GA,1538155615,100,-1.57,9.26,77.96,9.62
Cartagena del Chaira,24,CO,1538155615,44,1.33,-74.84,95.78,2.68
Drayton Valley,92,CA,1538155616,94,53.22,-114.98,38.45,4.14
San Roque,32,PH,1538155616,98,12.54,124.87,82.82,14.65
Santa Vitoria do Palmar,92,BR,1538155616,95,-33.52,-53.37,63.56,21.03
Erzin,8,RU,1538155616,91,50.26,95.16,33.23,3.02
Kewanee,75,US,1538154900,62,41.25,-89.92,64.94,9.17
Alyangula,0,AU,1538155617,100,-13.85,136.42,74.63,7.94
Cairns,40,AU,1538154000,73,-16.92,145.77,69.8,10.29
Grafton,0,AU,1538155617,95,-29.69,152.93,60.5,5.14
